,,,,,,,,Diagnóstico,Datos PAES (2023 en adelante),,,,,,,,Datos PSU (Hasta 2022),,,,,,,
Año,Semestre,Bimestre,Cód. Asig.,Módulo,Nombre Asignatura,Nota Final,Estado Final,% Aciertos Diag. Matem.,PAES C. Lectora,PAES M1,PAES M2,PAES Historia,PAES Ciencias,NEM (PAES),Ranking (PAES),Prom. M1 y C. Lectora,PSU Lenguaje,PSU Matemáticas,PSU Historia,PSU Ciencias,NEM (PSU),Ranking (PSU),Prom. Leng. Y Mat.,Año Ingreso UFRO
2022,1,1,IME027,1,PRECÁLCULO I,"3,2",REPROBADA,"23,33",,,,,,,,,590,580,556,489,578,583,"585,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"13,33",,,,,,,,,468,596,551,493,687,711,"532,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"36,67",,,,,,,,,643,493,0,570,786,839,"568,0",2021
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"43,33",,,,,,,,,466,559,0,468,483,483,"512,5",2021
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"70,00",,,,,,,,,620,583,0,614,513,513,"601,5",2020
2022,1,1,IME027,1,PRECÁLCULO I,"3,7",REPROBADA,"26,67",,,,,,,,,530,579,0,533,534,534,"554,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,7",REPROBADA,"50,00",,,,,,,,,448,529,0,390,545,551,"488,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,8",REPROBADA,"30,00",,,,,,,,,564,516,0,551,659,682,"540,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,8",REPROBADA,"36,67",,,,,,,,,521,599,0,460,549,549,"560,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,8",REPROBADA,"40,00",,,,,,,,,647,637,0,633,790,850,"642,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,8",REPROBADA,,,,,,,,,,,,,,,,,2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,3",APROBADA,,,,,,,,,,574,660,0,652,785,850,"617,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,7",APROBADA,,,,,,,,,,589,642,0,647,812,850,"615,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,8",APROBADA,,,,,,,,,,617,703,514,603,774,787,"660,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"5,0",APROBADA,,,,,,,,,,629,651,0,623,757,818,"640,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"5,3",APROBADA,,,,,,,,,,569,700,0,671,538,538,"634,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"1,9",REPROBADA,,,,,,,,,,502,579,538,488,459,459,"540,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"1,9",REPROBADA,,,,,,,,,,554,576,0,453,604,627,"565,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,3",REPROBADA,,,,,,,,,,500,660,0,582,648,646,"580,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,6",REPROBADA,,,,,,,,,,521,509,0,402,599,601,"515,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,7",REPROBADA,,,,,,,,,,497,568,602,510,687,719,"532,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,8",REPROBADA,,,,,,,,,,584,576,0,559,549,549,"580,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,9",REPROBADA,,,,,,,,,,390,564,0,570,567,570,"477,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"3,0",REPROBADA,,,,,,,,,,545,529,0,519,643,658,"537,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"3,4",REPROBADA,,,,,,,,,,507,583,395,408,588,588,"545,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"3,8",REPROBADA,,,,,,,,,,497,640,0,478,621,625,"568,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,0",APROBADA,"10,00",,,,,,,,,505,592,0,468,604,624,"548,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,0",APROBADA,"33,33",,,,,,,,,559,646,0,570,610,610,"602,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,1",APROBADA,"33,33",,,,,,,,,611,676,0,658,742,763,"643,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,4",APROBADA,"6,67",,,,,,,,,445,550,0,564,724,754,"497,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,5",APROBADA,"43,33",,,,,,,,,521,681,612,599,687,698,"601,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,6",APROBADA,"36,67",,,,,,,,,569,637,0,550,621,625,"603,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,6",APROBADA,"36,67",,,,,,,,,667,614,0,572,779,804,"640,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,8",APROBADA,"30,00",,,,,,,,,779,674,0,672,676,707,"726,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"4,9",APROBADA,"6,67",,,,,,,,,617,656,0,659,709,722,"636,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"6,1",APROBADA,"23,33",,,,,,,,,675,734,0,706,790,825,"704,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"6,4",APROBADA,"53,33",,,,,,,,,793,765,0,812,845,850,"779,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"1,9",REPROBADA,"20,00",,,,,,,,,483,555,0,496,523,523,"519,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,3",REPROBADA,"36,67",,,,,,,,,478,540,0,528,648,663,"509,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,4",REPROBADA,"16,67",,,,,,,,,545,625,0,559,637,658,"585,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,5",REPROBADA,"20,00",,,,,,,,,584,583,350,503,724,754,"583,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,5",REPROBADA,"30,00",,,,,,,,,511,509,0,570,528,528,"510,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,5",REPROBADA,"33,33",,,,,,,,,478,445,465,470,764,791,"461,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,5",REPROBADA,"50,00",,,,,,,,,550,579,0,570,698,743,"564,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,6",REPROBADA,"20,00",,,,,,,,,660,658,0,619,669,679,"659,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,9",REPROBADA,"0,00",,,,,,,,,623,599,708,619,702,716,"611,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"2,9",REPROBADA,"23,33",,,,,,,,,579,572,0,583,654,661,"575,5",2022
2022,1,1,IME027,2,PRECÁLCULO I,"3,0",REPROBADA,"16,67",,,,,,,,,559,599,0,569,578,578,"579,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"3,2",REPROBADA,"0,00",,,,,,,,,521,523,0,583,582,609,"522,0",2022
2022,1,1,IME027,2,PRECÁLCULO I,"3,3",REPROBADA,"3,33",,,,,,,,,611,642,0,587,615,639,"626,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,1",APROBADA,,,,,,,,,,636,697,0,637,698,712,"666,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"1,8",REPROBADA,,,,,,,,,,473,535,0,518,523,523,"504,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,0",REPROBADA,,,,,,,,,,617,596,0,536,578,578,"606,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,9",REPROBADA,,,,,,,,,,606,583,609,519,757,790,"594,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"3,4",REPROBADA,,,,,,,,,,617,614,665,641,691,691,"615,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,0",APROBADA,"13,33",,,,,,,,,545,625,658,595,720,735,"585,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,0",APROBADA,"16,67",,,,,,,,,574,635,0,578,687,764,"604,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,0",APROBADA,"23,33",,,,,,,,,584,635,0,565,796,832,"609,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,0",APROBADA,"33,33",,,,,,,,,584,649,0,600,774,825,"616,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,0",APROBADA,"46,67",,,,,,,,,660,642,0,557,818,850,"651,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,2",APROBADA,"26,67",,,,,,,,,629,577,0,481,698,808,"603,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,2",APROBADA,"26,67",,,,,,,,,698,602,0,572,790,850,"650,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,3",APROBADA,"36,67",,,,,,,,,628,688,0,732,764,777,"658,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,4",APROBADA,"36,67",,,,,,,,,535,674,0,610,621,637,"604,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,7",APROBADA,"30,00",,,,,,,,,550,632,0,583,724,740,"591,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,7",APROBADA,"40,00",,,,,,,,,623,690,0,577,753,773,"656,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"4,7",APROBADA,"46,67",,,,,,,,,682,656,0,655,785,812,"669,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"5,1",APROBADA,"0,00",,,,,,,,,551,713,0,666,687,690,"632,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"5,1",APROBADA,"23,33",,,,,,,,,675,719,633,698,785,837,"697,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"5,2",APROBADA,"30,00",,,,,,,,,653,614,0,629,812,838,"633,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"5,5",APROBADA,"43,33",,,,,,,,,698,660,672,603,648,653,"679,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"5,9",APROBADA,"33,33",,,,,,,,,769,686,0,694,746,768,"727,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"5,9",APROBADA,"46,67",,,,,,,,,725,706,0,671,764,784,"715,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"1,2",REPROBADA,"33,33",,,,,,,,,651,598,0,543,674,699,"624,5",2021
2022,1,1,IME027,3,PRECÁLCULO I,"1,4",REPROBADA,"30,00",,,,,,,,,473,493,405,419,593,596,"483,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"1,5",REPROBADA,"50,00",,,,,,,,,554,422,0,331,643,647,"488,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"1,6",REPROBADA,"40,00",,,,,,,,,579,535,519,506,556,556,"557,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"1,7",REPROBADA,"23,33",,,,,,,,,483,564,0,486,534,534,"523,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"1,7",REPROBADA,"30,00",,,,,,,,,526,602,465,597,680,699,"564,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"1,7",REPROBADA,"33,33",,,,,,,,,564,614,533,560,621,625,"589,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"1,7",REPROBADA,"33,33",,,,,,,,,569,579,599,562,632,645,"574,0",2022
