2022,1,1,IME027,1,PRECÁLCULO I,"2,0",REPROBADA,,,,,,,,,,516,501,0,470,654,672,"508,5",2022,pdt,6
2022,1,1,IME027,1,PRECÁLCULO I,"2,0",REPROBADA,,,,,,,,,,569,579,0,562,482,483,"574,0",2022,pdt,7
2022,1,1,IME027,1,PRECÁLCULO I,"2,2",REPROBADA,,,,,,,,,,473,509,0,388,588,588,"491,0",2022,pdt,8
2022,1,1,IME027,1,PRECÁLCULO I,"2,5",REPROBADA,,,,,,,,,,535,466,0,579,604,613,"500,5",2022,pdt,9
2022,1,1,IME027,1,PRECÁLCULO I,"2,7",REPROBADA,,,,,,,,,,698,602,595,553,731,752,"650,0",2022,pdt,10
2022,1,1,IME027,1,PRECÁLCULO I,"2,9",REPROBADA,,,,,,,,,,488,583,0,467,560,560,"535,5",2022,pdt,11
2022,1,1,IME027,1,PRECÁLCULO I,"3,4",REPROBADA,,,,,,,,,,559,662,0,611,676,699,"610,5",2022,pdt,12
2022,1,1,IME027,1,PRECÁLCULO I,"3,7",REPROBADA,,,,,,,,,,535,574,0,551,578,599,"554,5",2022,pdt,13
2022,1,1,IME027,1,PRECÁLCULO I,"4,0",APROBADA,"56,67",,,,,,,,,628,653,0,590,659,664,"640,5",2022,pdt,14
2022,1,1,IME027,1,PRECÁLCULO I,"4,1",APROBADA,"40,00",,,,,,,,,608,612,0,618,621,627,"610,0",2019,pdt,15
2022,1,1,IME027,1,PRECÁLCULO I,"4,2",APROBADA,"23,33",,,,,,,,,545,516,0,478,665,673,"530,5",2022,pdt,16
2022,1,1,IME027,1,PRECÁLCULO I,"4,2",APROBADA,"46,67",,,,,,,,,698,656,0,642,735,795,"677,0",2022,pdt,17
2022,1,1,IME027,1,PRECÁLCULO I,"4,4",APROBADA,"26,67",,,,,,,,,666,662,0,641,717,787,"664,0",2021,pdt,18
2022,1,1,IME027,1,PRECÁLCULO I,"4,4",APROBADA,"40,00",,,,,,,,,660,700,0,619,702,716,"680,0",2022,pdt,19
2022,1,1,IME027,1,PRECÁLCULO I,"4,8",APROBADA,"23,33",,,,,,,,,602,634,543,582,807,818,"0,0",2022,pdt,20
2022,1,1,IME027,1,PRECÁLCULO I,"4,8",APROBADA,"26,67",,,,,,,,,551,563,0,592,667,677,"557,0",2021,pdt,21
2022,1,1,IME027,1,PRECÁLCULO I,"4,8",APROBADA,"56,67",,,,,,,,,660,690,0,635,764,796,"675,0",2022,pdt,22
2022,1,1,IME027,1,PRECÁLCULO I,"4,9",APROBADA,"23,33",,,,,,,,,690,658,0,639,746,760,"674,0",2022,pdt,23
2022,1,1,IME027,1,PRECÁLCULO I,"4,9",APROBADA,"30,00",,,,,,,,,606,678,574,659,774,809,"642,0",2022,pdt,24
2022,1,1,IME027,1,PRECÁLCULO I,"5,2",APROBADA,"23,33",,,,,,,,,554,703,503,610,724,729,"628,5",2022,pdt,25
2022,1,1,IME027,1,PRECÁLCULO I,"5,2",APROBADA,"56,67",,,,,,,,,653,674,712,584,801,850,"663,5",2022,pdt,26
2022,1,1,IME027,1,PRECÁLCULO I,"5,6",APROBADA,"6,67",,,,,,,,,574,669,491,600,735,766,"621,5",2022,pdt,27
2022,1,1,IME027,1,PRECÁLCULO I,"5,7",APROBADA,"36,67",,,,,,,,,511,676,0,637,666,751,"593,5",2022,pdt,28
2022,1,1,IME027,1,PRECÁLCULO I,"5,9",APROBADA,"46,67",,,,,,,,,745,713,0,671,742,760,"729,0",2022,pdt,29
2022,1,1,IME027,1,PRECÁLCULO I,"1,6",REPROBADA,"30,00",,,,,,,,,483,546,0,419,753,774,"514,5",2022,pdt,30
2022,1,1,IME027,1,PRECÁLCULO I,"1,8",REPROBADA,"33,33",,,,,,,,,458,568,433,438,557,563,"513,0",2022,pdt,31
2022,1,1,IME027,1,PRECÁLCULO I,"1,8",REPROBADA,"36,67",,,,,,,,,407,560,0,527,539,548,"483,5",2022,pdt,32
2022,1,1,IME027,1,PRECÁLCULO I,"1,8",REPROBADA,"36,67",,,,,,,,,515,540,0,537,535,581,"527,5",2021,pdt,33
2022,1,1,IME027,1,PRECÁLCULO I,"2,0",REPROBADA,"30,00",,,,,,,,,511,586,0,506,556,571,"548,5",2022,pdt,34
2022,1,1,IME027,1,PRECÁLCULO I,"2,1",REPROBADA,"26,67",,,,,,,,,567,598,0,541,706,742,"582,5",2021,pdt,35
2022,1,1,IME027,1,PRECÁLCULO I,"2,1",REPROBADA,"36,67",,,,,,,,,422,544,0,449,528,528,"483,0",2019,pdt,36
2022,1,1,IME027,1,PRECÁLCULO I,"2,2",REPROBADA,"6,67",,,,,,,,,488,596,0,529,753,768,"542,0",2022,pdt,37
2022,1,1,IME027,1,PRECÁLCULO I,"2,2",REPROBADA,"26,67",,,,,,,,,595,576,0,590,654,680,"585,5",2022,pdt,38
2022,1,1,IME027,1,PRECÁLCULO I,"2,3",REPROBADA,"33,33",,,,,,,,,574,628,0,607,603,600,"601,0",2021,pdt,39
2022,1,1,IME027,1,PRECÁLCULO I,"2,4",REPROBADA,"20,00",,,,,,,,,554,614,0,584,713,734,"584,0",2022,pdt,40
2022,1,1,IME027,1,PRECÁLCULO I,"2,5",REPROBADA,"23,33",,,,,,,,,497,590,574,584,680,701,"543,5",2022,pdt,41
2022,1,1,IME027,1,PRECÁLCULO I,"3,0",REPROBADA,"33,33",,,,,,,,,535,540,533,332,724,742,"537,5",2022,pdt,42
2022,1,1,IME027,1,PRECÁLCULO I,"3,2",REPROBADA,"23,33",,,,,,,,,590,580,556,489,578,583,"585,0",2022,pdt,43
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"13,33",,,,,,,,,468,596,551,493,687,711,"532,0",2022,pdt,44
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"36,67",,,,,,,,,643,493,0,570,786,839,"568,0",2021,pdt,45
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"43,33",,,,,,,,,466,559,0,468,483,483,"512,5",2021,pdt,46
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"70,00",,,,,,,,,620,583,0,614,513,513,"601,5",2020,pdt,47
2022,1,1,IME027,1,PRECÁLCULO I,"3,7",REPROBADA,"26,67",,,,,,,,,530,579,0,533,534,534,"554,5",2022,pdt,48
2022,1,1,IME027,1,PRECÁLCULO I,"3,7",REPROBADA,"50,00",,,,,,,,,448,529,0,390,545,551,"488,5",2022,pdt,49
2022,1,1,IME027,1,PRECÁLCULO I,"3,8",REPROBADA,"30,00",,,,,,,,,564,516,0,551,659,682,"540,0",2022,pdt,50
2022,1,1,IME027,1,PRECÁLCULO I,"3,8",REPROBADA,"36,67",,,,,,,,,521,599,0,460,549,549,"560,0",2022,pdt,51
2022,1,1,IME027,1,PRECÁLCULO I,"3,8",REPROBADA,"40,00",,,,,,,,,647,637,0,633,790,850,"642,0",2022,pdt,52
2022,1,1,IME027,2,PRECÁLCULO I,"4,3",APROBADA,,,,,,,,,,574,660,0,652,785,850,"617,0",2022,pdt,54
2022,1,1,IME027,2,PRECÁLCULO I,"4,7",APROBADA,,,,,,,,,,589,642,0,647,812,850,"615,5",2022,pdt,55
2022,1,1,IME027,2,PRECÁLCULO I,"4,8",APROBADA,,,,,,,,,,617,703,514,603,774,787,"660,0",2022,pdt,56
2022,1,1,IME027,2,PRECÁLCULO I,"5,0",APROBADA,,,,,,,,,,629,651,0,623,757,818,"640,0",2022,pdt,57
2022,1,1,IME027,2,PRECÁLCULO I,"5,3",APROBADA,,,,,,,,,,569,700,0,671,538,538,"634,5",2022,pdt,58
2022,1,1,IME027,2,PRECÁLCULO I,"1,9",REPROBADA,,,,,,,,,,502,579,538,488,459,459,"540,5",2022,pdt,59
2022,1,1,IME027,2,PRECÁLCULO I,"1,9",REPROBADA,,,,,,,,,,554,576,0,453,604,627,"565,0",2022,pdt,60
2022,1,1,IME027,2,PRECÁLCULO I,"2,3",REPROBADA,,,,,,,,,,500,660,0,582,648,646,"580,0",2022,pdt,61
2022,1,1,IME027,2,PRECÁLCULO I,"2,6",REPROBADA,,,,,,,,,,521,509,0,402,599,601,"515,0",2022,pdt,62
2022,1,1,IME027,2,PRECÁLCULO I,"2,7",REPROBADA,,,,,,,,,,497,568,602,510,687,719,"532,5",2022,pdt,63
2022,1,1,IME027,2,PRECÁLCULO I,"2,8",REPROBADA,,,,,,,,,,584,576,0,559,549,549,"580,0",2022,pdt,64
2022,1,1,IME027,2,PRECÁLCULO I,"2,9",REPROBADA,,,,,,,,,,390,564,0,570,567,570,"477,0",2022,pdt,65
2022,1,1,IME027,2,PRECÁLCULO I,"3,0",REPROBADA,,,,,,,,,,545,529,0,519,643,658,"537,0",2022,pdt,66
2022,1,1,IME027,2,PRECÁLCULO I,"3,4",REPROBADA,,,,,,,,,,507,583,395,408,588,588,"545,0",2022,pdt,67
2022,1,1,IME027,2,PRECÁLCULO I,"3,8",REPROBADA,,,,,,,,,,497,640,0,478,621,625,"568,5",2022,pdt,68
2022,1,1,IME027,2,PRECÁLCULO I,"4,0",APROBADA,"10,00",,,,,,,,,505,592,0,468,604,624,"548,5",2022,pdt,69
2022,1,1,IME027,2,PRECÁLCULO I,"4,0",APROBADA,"33,33",,,,,,,,,559,646,0,570,610,610,"602,5",2022,pdt,70
2022,1,1,IME027,2,PRECÁLCULO I,"4,1",APROBADA,"33,33",,,,,,,,,611,676,0,658,742,763,"643,5",2022,pdt,71
2022,1,1,IME027,2,PRECÁLCULO I,"4,4",APROBADA,"6,67",,,,,,,,,445,550,0,564,724,754,"497,5",2022,pdt,72
2022,1,1,IME027,2,PRECÁLCULO I,"4,5",APROBADA,"43,33",,,,,,,,,521,681,612,599,687,698,"601,0",2022,pdt,73
2022,1,1,IME027,2,PRECÁLCULO I,"4,6",APROBADA,"36,67",,,,,,,,,569,637,0,550,621,625,"603,0",2022,pdt,74
2022,1,1,IME027,2,PRECÁLCULO I,"4,6",APROBADA,"36,67",,,,,,,,,667,614,0,572,779,804,"640,5",2022,pdt,75
2022,1,1,IME027,2,PRECÁLCULO I,"4,8",APROBADA,"30,00",,,,,,,,,779,674,0,672,676,707,"726,5",2022,pdt,76
2022,1,1,IME027,2,PRECÁLCULO I,"4,9",APROBADA,"6,67",,,,,,,,,617,656,0,659,709,722,"636,5",2022,pdt,77
2022,1,1,IME027,2,PRECÁLCULO I,"6,1",APROBADA,"23,33",,,,,,,,,675,734,0,706,790,825,"704,5",2022,pdt,78
2022,1,1,IME027,2,PRECÁLCULO I,"6,4",APROBADA,"53,33",,,,,,,,,793,765,0,812,845,850,"779,0",2022,pdt,79
2022,1,1,IME027,2,PRECÁLCULO I,"1,9",REPROBADA,"20,00",,,,,,,,,483,555,0,496,523,523,"519,0",2022,pdt,80
2022,1,1,IME027,2,PRECÁLCULO I,"2,3",REPROBADA,"36,67",,,,,,,,,478,540,0,528,648,663,"509,0",2022,pdt,81
2022,1,1,IME027,2,PRECÁLCULO I,"2,4",REPROBADA,"16,67",,,,,,,,,545,625,0,559,637,658,"585,0",2022,pdt,82
2022,1,1,IME027,2,PRECÁLCULO I,"2,5",REPROBADA,"20,00",,,,,,,,,584,583,350,503,724,754,"583,5",2022,pdt,83
2022,1,1,IME027,2,PRECÁLCULO I,"2,5",REPROBADA,"30,00",,,,,,,,,511,509,0,570,528,528,"510,0",2022,pdt,84
2022,1,1,IME027,2,PRECÁLCULO I,"2,5",REPROBADA,"33,33",,,,,,,,,478,445,465,470,764,791,"461,5",2022,pdt,85
2022,1,1,IME027,2,PRECÁLCULO I,"2,5",REPROBADA,"50,00",,,,,,,,,550,579,0,570,698,743,"564,5",2022,pdt,86
